# IDX        LATG        LATC        LONW          MU          TB
  196      -38.51      -32.92      170.24      0.5002       -2.44
  197      -38.22      -32.65      168.35      0.5115       -2.95
  198      -37.96      -32.41      166.49      0.5215       -3.22
  199      -37.73      -32.20      164.67      0.5302       -3.03
  200      -37.54      -32.02      162.87      0.5376       -2.43
  201      -37.38      -31.87      161.10      0.5438       -1.64
  202      -37.25      -31.75      159.34      0.5489       -0.94
  203      -37.15      -31.66      157.60      0.5528       -0.50
  204      -37.08      -31.59      155.86      0.5556       -0.32
  205      -37.04      -31.55      154.14      0.5573       -0.28
  206      -37.02      -31.53      152.42      0.5579       -0.27
  207      -37.03      -31.55      150.69      0.5574       -0.19
  208      -37.07      -31.58      148.97      0.5559       -0.06
  209      -37.14      -31.65      147.23      0.5532        0.04
  210      -37.24      -31.73      145.49      0.5495       -0.01
  211      -37.36      -31.85      143.74      0.5446       -0.30
  212      -37.52      -32.00      141.97      0.5385       -0.86
  213      -37.71      -32.17      140.17      0.5313       -1.64
  214      -37.92      -32.37      138.35      0.5228       -2.49
  215      -38.18      -32.61      136.50      0.5130       -3.20
  216      -38.47      -32.88      134.62      0.5018       -3.55
  217      -38.80      -33.19      132.69      0.4892       -3.41
  218      -39.17      -33.54      130.70      0.4750       -2.84
  219      -39.59      -33.93      128.66      0.4591       -2.07
  220      -40.06      -34.38      126.54      0.4413       -1.41
  221      -40.59      -34.88      124.33      0.4214       -1.11
  222      -41.19      -35.45      122.00      0.3990       -1.22
  223      -41.87      -36.10      119.54      0.3739       -1.59
  224      -42.65      -36.85      116.89      0.3453       -1.94
  225      -43.56      -37.73      113.99      0.3123       -2.03
  226      -44.64      -38.79      110.73      0.2736       -1.78
  227      -46.00      -40.12      106.91      0.2261       -1.28
  228      -47.86      -41.97      101.97      0.1626       -0.74
  229      -51.94      -46.10       91.90      0.0306       -0.31
  230      -47.56      -41.66      209.47      0.1046       -1.90
  231      -44.92      -39.06      202.77      0.1952       -1.49
  232      -43.28      -37.46      198.33      0.2538       -1.09
  233      -42.02      -36.24      194.74      0.2995       -0.75
  234      -40.98      -35.26      191.62      0.3376       -0.54
  235      -40.11      -34.42      188.83      0.3704       -0.45
  236      -39.35      -33.71      186.25      0.3991       -0.41
  237      -38.68      -33.08      183.85      0.4246       -0.38
  238      -38.08      -32.52      181.58      0.4474       -0.33
  239      -37.55      -32.03      179.41      0.4678       -0.26
  240      -37.08      -31.59      177.33      0.4862       -0.22
  241      -36.66      -31.20      175.33      0.5028       -0.21
  242      -36.28      -30.84      173.38      0.5176       -0.25
  243      -35.94      -30.53      171.49      0.5310       -0.40
  244      -35.63      -30.25      169.64      0.5429       -0.68
  245      -35.37      -30.01      167.82      0.5535       -1.12
  246      -35.13      -29.79      166.04      0.5629       -1.62
  247      -34.93      -29.61      164.28      0.5710       -1.99
  248      -34.75      -29.45      162.55      0.5779       -2.07
  249      -34.61      -29.31      160.83      0.5838       -1.81
  250      -34.49      -29.20      159.13      0.5885       -1.31
  251      -34.40      -29.12      157.44      0.5922       -0.77
  252      -34.33      -29.06      155.76      0.5949       -0.36
  253      -34.29      -29.02      154.08      0.5965       -0.19
  254      -34.27      -29.01      152.41      0.5970       -0.23
  255      -34.29      -29.02      150.74      0.5966       -0.40
  256      -34.32      -29.05      149.07      0.5951       -0.57
  257      -34.38      -29.11      147.39      0.5926       -0.62
  258      -34.47      -29.19      145.70      0.5891       -0.54
  259      -34.59      -29.29      144.00      0.5845       -0.40
  260      -34.73      -29.43      142.28      0.5788       -0.31
  261      -34.90      -29.58      140.55      0.5720       -0.41
  262      -35.10      -29.76      138.80      0.5641       -0.75
  263      -35.33      -29.98      137.02      0.5549       -1.33
  264      -35.59      -30.22      135.21      0.5445       -2.00
  265      -35.89      -30.49      133.36      0.5328       -2.52
  266      -36.23      -30.80      131.48      0.5196       -2.68
  267      -36.60      -31.14      129.54      0.5049       -2.39
  268      -37.02      -31.53      127.54      0.4886       -1.78
  269      -37.48      -31.96      125.47      0.4705       -1.10
  270      -38.01      -32.45      123.32      0.4504       -0.58
  271      -38.59      -33.00      121.06      0.4280       -0.34
  272      -39.25      -33.61      118.68      0.4029       -0.31
  273      -39.99      -34.32      116.13      0.3746       -0.38
  274      -40.85      -35.13      113.37      0.3425       -0.40
  275      -41.86      -36.09      110.31      0.3053       -0.31
  276      -43.08      -37.27      106.81      0.2608       -0.10
  277      -44.66      -38.80      102.52      0.2046        0.20
  278      -47.06      -41.16       96.37      0.1217        0.52
  279      -44.27      -38.43      208.37      0.1496       -2.36
  280      -42.15      -36.37      202.86      0.2259       -1.89
  281      -40.66      -34.95      198.80      0.2807       -1.50
  282      -39.48      -33.83      195.41      0.3248       -1.22
  283      -38.50      -32.91      192.43      0.3622       -1.01
  284      -37.65      -32.12      189.72      0.3947       -0.85
  285      -36.91      -31.43      187.22      0.4234       -0.73
  286      -36.25      -30.82      184.88      0.4491       -0.64
  287      -35.66      -30.28      182.65      0.4721       -0.55
