# IDX        LATG        LATC        LONW          MU          TB
  336      -45.80      -39.92       67.46      0.3290        7.22
  337      -45.91      -40.02       66.71      0.3261        7.35
  338      -46.02      -40.14       65.95      0.3228        6.24
  339      -46.15      -40.26       65.18      0.3193        4.60
  340      -46.29      -40.40       64.41      0.3155        3.19
  341      -46.44      -40.55       63.63      0.3113        2.31
  342      -46.60      -40.71       62.84      0.3069        1.85
  343      -46.77      -40.88       62.04      0.3020        1.61
  344      -46.96      -41.07       61.23      0.2969        1.46
  345      -47.16      -41.27       60.40      0.2913        1.31
  346      -47.38      -41.49       59.57      0.2854        1.12
  347      -47.62      -41.72       58.71      0.2791        0.93
  348      -47.87      -41.97       57.85      0.2723        0.78
  349      -48.14      -42.24       56.96      0.2650        0.60
  350      -48.43      -42.53       56.05      0.2572        0.30
  351      -48.74      -42.85       55.12      0.2489        0.02
  352      -49.08      -43.19       54.16      0.2399       -0.03
  353      -49.45      -43.56       53.17      0.2302        0.16
  354      -49.84      -43.96       52.14      0.2198        0.43
  355      -50.28      -44.40       51.06      0.2085        0.58
  356      -50.76      -44.89       49.94      0.1961        0.58
  357      -51.30      -45.44       48.74      0.1825        0.50
  358      -51.90      -46.06       47.47      0.1674        0.35
  359      -52.59      -46.77       46.08      0.1502        0.09
  360      -53.40      -47.61       44.53      0.1303       -0.35
  361      -54.41      -48.67       42.73      0.1061       -0.90
  362      -55.81      -50.14       40.42      0.0735       -1.30
  363      -55.30      -49.61      113.43      0.0660        0.36
  364      -53.72      -47.95      110.83      0.1034       -0.53
  365      -52.63      -46.81      108.89      0.1301       -1.52
  366      -51.76      -45.91      107.26      0.1517       -2.92
  367      -51.03      -45.16      105.81      0.1701       -4.65
  368      -50.39      -44.51      104.49      0.1864       -6.20
  369      -49.83      -43.94      103.26      0.2010       -7.10
  370      -49.32      -43.43      102.10      0.2143       -7.21
  371      -48.86      -42.96      101.00      0.2265       -6.67
  372      -48.44      -42.54       99.96      0.2377       -5.76
  373      -48.05      -42.15       98.95      0.2481       -4.77
  374      -47.69      -41.79       97.97      0.2578       -3.97
  375      -47.35      -41.46       97.03      0.2668       -3.55
  376      -47.04      -41.15       96.11      0.2753       -3.66
  377      -46.76      -40.86       95.22      0.2832       -4.39
  378      -46.49      -40.60       94.34      0.2906       -5.31
  379      -46.23      -40.35       93.49      0.2976       -5.47
  380      -46.00      -40.12       92.65      0.3041       -4.39
  381      -45.78      -39.90       91.82      0.3102       -2.66
  382      -45.57      -39.70       91.01      0.3160       -1.18
  383      -45.38      -39.51       90.21      0.3214       -0.32
  384      -45.20      -39.33       89.42      0.3265        0.07
  385      -45.03      -39.17       88.64      0.3312        0.30
  386      -44.88      -39.01       87.87      0.3356        0.54
  387      -44.73      -38.87       87.10      0.3397        0.78
  388      -44.60      -38.74       86.35      0.3436        0.93
  389      -44.47      -38.62       85.60      0.3471        1.02
  390      -44.36      -38.50       84.86      0.3504        1.18
