# VLA smeared map of saturn, X band, 2.5 - 3.76 cm, 8 - 12 GHz
#    LATG1     LATG2        TB       sTB        MU       sMU         N
      37.2      37.4      8.22      0.79      0.93     0.033        33
      37.4      37.6      8.36      0.64      0.93     0.030        20
      37.6      37.8      8.72      0.71      0.92     0.040        36
      37.8      38.0      9.34      0.72      0.94     0.028        29
      38.0      38.2      9.61      0.77      0.93     0.022        20
      38.2      38.4      9.94      0.78      0.91     0.044        36
      38.4      38.6     10.71      0.56      0.95     0.023        31
      38.6      38.8     10.88      0.81      0.92     0.032        20
      38.8      39.0     11.15      0.87      0.92     0.037        30
      39.0      39.2     12.24      0.52      0.94     0.021        33
      39.2      39.4     12.34      0.78      0.91     0.030        22
      39.4      39.6     12.82      0.68      0.93     0.022        22
      39.6      39.8     13.60      0.70      0.94     0.028        37
      39.8      40.0     13.74      0.65      0.90     0.035        24
      40.0      40.2     14.22      0.59      0.93     0.018        18
      40.2      40.4     14.71      0.73      0.93     0.028        34
      40.4      40.6     14.74      0.56      0.92     0.029        25
      40.6      40.8     15.28      0.65      0.92     0.022        20
      40.8      41.0     15.43      0.70      0.91     0.040        36
      41.0      41.2     15.31      0.46      0.93     0.023        25
      41.2      41.4     15.91      0.89      0.91     0.032        20
      41.4      41.6     16.06      0.46      0.91     0.031        32
      41.6      41.8     15.72      0.55      0.92     0.034        31
      41.8      42.0     16.31      1.15      0.90     0.030        22
      42.0      42.2     16.29      0.67      0.91     0.032        28
      42.2      42.4     15.97      0.51      0.92     0.024        31
      42.4      42.6     16.26      1.12      0.89     0.035        26
      42.6      42.8     16.12      1.03      0.90     0.038        26
      42.8      43.0     15.81      0.59      0.92     0.024        33
      43.0      43.2     15.89      1.00      0.88     0.036        24
      43.2      43.4     15.95      0.91      0.90     0.028        24
      43.4      43.6     15.62      0.81      0.90     0.040        41
      43.6      43.8     15.73      0.67      0.90     0.018        14
      43.8      44.0     15.67      0.94      0.89     0.031        26
      44.0      44.2     15.59      0.80      0.90     0.030        28
