# VLA smeared map of saturn, K band, 1.15 - 1.67 cm, 18 - 26 GHz
#    LATG1     LATG2        TB       sTB        MU       sMU         N
      47.2      47.6      0.86      0.22      0.90     0.018        14
      47.6      47.8      0.66      0.20      0.91     0.017        11
      47.8      48.2      0.31      0.35      0.88     0.018         9
      48.2      48.6      0.17      0.34      0.88     0.030        17
      48.6      48.8      0.12      0.08      0.91     0.011        11
      48.8      49.4      0.12      0.36      0.86     0.031        17
      49.4      49.8      0.15      0.17      0.88     0.026        16
      49.8      50.0      0.44      0.30      0.86     0.081        12
      50.0      50.2      0.43      0.28      0.84     0.038         8
      50.2      50.6      0.43      0.17      0.86     0.024        11
      50.6      51.0      0.68      0.16      0.86     0.035        17
      51.0      51.2      0.73      0.16      0.88     0.030        12
      51.2      51.6      0.82      0.20      0.85     0.019         8
      51.6      52.0      0.87      0.15      0.86     0.017        12
      52.0      52.2      1.00      0.21      0.86     0.029        10
      52.2      52.4      0.92      0.19      0.87     0.027        11
      52.4      52.8      0.97      0.17      0.85     0.016         8
      52.8      53.2      0.96      0.17      0.85     0.018        12
      53.2      53.4      0.92      0.21      0.87     0.015        10
      53.4      53.6      0.90      0.14      0.85     0.023         8
      53.6      54.0      1.04      0.26      0.81     0.030        12
      54.0      54.4      0.95      0.26      0.83     0.037        16
      54.4      54.6      0.70      0.19      0.86     0.001        11
      54.6      55.2      0.79      0.09      0.80     0.049        15
      55.2      55.6      0.89      0.34      0.82     0.044        15
      55.6      55.8      0.57      0.21      0.85     0.014        11
      55.8      56.2      0.82      0.21      0.81     0.017         8
      56.2      56.6      0.60      0.15      0.83     0.003         8
      56.6      56.8      0.64      0.31      0.81     0.030         8
      56.8      57.0      0.35      0.22      0.84     0.014        11
      57.0      57.4      0.68      0.29      0.79     0.027        12
      57.4      57.8      0.57      0.18      0.81     0.018        10
      57.8      58.2      0.46      0.36      0.79     0.065        20
      58.2      58.6      0.76      0.18      0.76     0.054         8
      58.6      59.0      0.75      0.22      0.78     0.029        13
      59.0      59.4      0.59      0.31      0.80     0.024        19
      59.4      59.8      0.97      0.30      0.77     0.018         8
      59.8      60.2      1.06      0.22      0.79     0.015         8
      60.2      60.6      0.81      0.17      0.80     0.020        16
      60.6      61.0      1.40      0.43      0.75     0.027        10
      61.0      61.4      1.32      0.28      0.75     0.049        11
      61.4      61.6      1.55      0.45      0.73     0.064         9
      61.6      61.8      0.98      0.29      0.79     0.014        11
      61.8      62.2      1.63      0.40      0.72     0.041        10
      62.2      62.6      1.50      0.41      0.74     0.032        12
      62.6      63.0      1.06      0.41      0.77     0.024        19
      63.0      63.6      1.40      0.23      0.74     0.017        10
      63.6      64.0      1.70      0.72      0.62     0.159        11
      64.0      64.2      1.07      0.45      0.73     0.047         8
      64.2      64.4      0.87      0.48      0.74     0.035         9
      64.4      65.0      1.21      0.23      0.72     0.026        13
      65.0      65.4      1.68      0.87      0.62     0.142        11
      65.4      65.8      0.70      0.30      0.74     0.016        11
      65.8      66.2      1.34      0.30      0.70     0.027        10
      66.2      66.6      1.07      0.26      0.73     0.015         8
      66.6      66.8      0.64      0.17      0.74     0.001         9
      66.8      67.4      1.43      0.35      0.69     0.025        12
      67.4      67.8      1.81      0.45      0.62     0.088        10
      67.8      68.2      1.39      0.65      0.66     0.084        11
      68.2      68.8      1.36      0.31      0.68     0.029        10
      68.8      69.2      1.26      0.31      0.68     0.027        10
      69.2      69.4      0.79      0.23      0.70     0.014        10
      69.4      70.0      1.59      0.47      0.56     0.102        10
      70.0      70.4      1.08      0.16      0.67     0.018         8
      70.4      70.6      1.09      0.29      0.62     0.080         8
      70.6      71.0      0.83      0.10      0.67     0.041        11
      71.0      71.4      1.44      0.65      0.52     0.114         9
      71.4      71.8      1.00      0.22      0.62     0.070         8
      71.8      72.0      0.95      0.14      0.62     0.065         8
      72.0      72.4      1.14      0.40      0.60     0.105         9
      72.4      73.0      1.14      0.34      0.63     0.018        10
      73.0      73.4      1.20      0.21      0.65     0.016         8
      73.4      74.0      1.05      0.32      0.56     0.103         8
      74.0      74.6      1.07      0.34      0.58     0.066        12
      74.6      75.0      1.32      0.27      0.63     0.014        11
      75.0      75.6      0.93      0.50      0.54     0.064         8
      75.6      76.2      1.20      0.46      0.56     0.073        10
      76.2      76.6      1.18      0.47      0.59     0.048        11
      76.6      77.4      1.39      0.80      0.55     0.048        11
      77.4      78.0      1.60      0.61      0.57     0.046        13
      78.0      79.0      1.36      0.55      0.51     0.055        10
      79.0      79.6      2.00      0.58      0.56     0.022        12
      79.6      80.6      1.31      0.20      0.50     0.050         8
      80.6      81.2      1.87      0.57      0.53     0.036        10
      81.2      82.4      1.18      0.47      0.49     0.029         8
      82.4      83.2      1.27      0.53      0.50     0.035         9
      83.2      84.6      0.90      0.40      0.48     0.029         9
      84.6      86.6      0.90      0.32      0.47     0.019         9
