# VLA smeared map of saturn, Q band, 0.62 - 0.75 cm, 40 - 48.4 GHz
#    LATG1     LATG2        TB       sTB        MU       sMU         N
      -8.2      -8.1     -1.25      2.61      0.81     0.024        11
      -8.1      -8.0     -1.39      2.86      0.81     0.023        10
      -8.0      -7.9     -1.50      2.57      0.83     0.015        14
      -7.9      -7.8     -0.17      2.12      0.83     0.027        19
      -7.8      -7.7     -0.25      2.51      0.80     0.031         8
      -7.7      -7.6     -1.23      2.19      0.82     0.010         4
      -7.6      -7.5      0.17      2.68      0.81     0.023        10
      -7.5      -7.4     -0.88      2.33      0.83     0.010         6
      -7.4      -7.3      0.12      2.63      0.82     0.023        11
      -7.3      -7.2      0.39      2.57      0.83     0.020        12
      -7.2      -7.1      0.94      2.09      0.81     0.048        16
      -7.1      -7.0      0.82      1.64      0.84     0.014        19
      -7.0      -6.8      1.43      2.28      0.81     0.022        16
      -6.8      -6.7      0.98      1.98      0.83     0.017         8
      -6.7      -6.6      0.60      1.90      0.85     0.001         4
      -6.6      -6.5      1.81      2.27      0.82     0.024        10
      -6.5      -6.4      2.15      2.50      0.83     0.031        13
      -6.4      -6.3      1.81      1.80      0.83     0.033        19
      -6.3      -6.2      2.48      2.09      0.84     0.032        16
      -6.2      -6.1      1.21      1.04      0.79     0.053         5
      -6.1      -6.0      3.23      2.73      0.81     0.029         7
      -6.0      -5.9      1.17      0.92      0.82     0.028         9
      -5.9      -5.8      1.43      0.95      0.84     0.022         7
      -5.8      -5.7      1.78      1.63      0.84     0.016        10
      -5.7      -5.6      1.82      1.70      0.85     0.015        12
      -5.6      -5.5      2.39      1.44      0.85     0.020        23
      -5.5      -5.4      3.03      2.09      0.81     0.043        11
      -5.4      -5.3      0.92      0.65      0.81     0.029         5
      -5.3      -5.2      1.63      1.25      0.84     0.016         8
      -5.2      -5.1      2.05      1.66      0.84     0.026         8
      -5.1      -5.0      1.38      0.79      0.84     0.019        10
      -5.0      -4.9      1.95      1.27      0.85     0.017        10
      -4.9      -4.8      2.33      1.57      0.85     0.022        16
      -4.8      -4.7      2.15      0.98      0.86     0.014        17
      -4.7      -4.6      2.03      1.57      0.83     0.017         6
      -4.6      -4.5      1.95      1.06      0.85     0.014         8
      -4.5      -4.4      1.85      1.51      0.83     0.030        12
      -4.4      -4.3      2.07      1.21      0.83     0.031        11
      -4.3      -4.2      1.35      1.48      0.84     0.045        11
      -4.2      -4.1      1.97      1.12      0.86     0.016        11
      -4.1      -4.0      2.34      1.04      0.86     0.020        21
      -4.0      -3.9      2.00      1.11      0.85     0.023         9
      -3.9      -3.8      1.71      1.11      0.84     0.023        10
      -3.8      -3.7      2.05      0.85      0.85     0.014         7
      -3.7      -3.6      1.77      0.69      0.86     0.010         6
      -3.6      -3.5      1.68      0.98      0.85     0.026        13
      -3.5      -3.4      2.11      1.05      0.86     0.023        12
      -3.4      -3.3      1.93      1.12      0.85     0.047        18
      -3.3      -3.2      1.80      1.07      0.87     0.028        19
      -3.2      -3.1      1.24      0.83      0.85     0.017         6
      -3.1      -3.0      1.25      0.78      0.85     0.022        12
      -3.0      -2.9      1.40      0.67      0.86     0.017         8
      -2.9      -2.8      1.30      0.71      0.86     0.017         8
      -2.8      -2.7      1.50      1.09      0.86     0.025        11
      -2.7      -2.6      1.27      1.15      0.86     0.032        15
      -2.6      -2.5      1.78      0.80      0.88     0.016        20
      -2.5      -2.4      0.27      0.78      0.84     0.036        10
      -2.4      -2.3      0.44      0.57      0.84     0.028         7
      -2.3      -2.2      0.57      0.55      0.86     0.016         8
      -2.2      -2.1      0.61      0.57      0.87     0.014         7
      -2.1      -2.0      0.64      0.99      0.87     0.013        11
      -2.0      -1.9      0.88      1.05      0.87     0.024        11
      -1.9      -1.8      0.69      1.01      0.87     0.038        19
      -1.8      -1.7      0.68      1.00      0.88     0.022        16
      -1.7      -1.6     -0.49      1.00      0.86     0.035         7
      -1.6      -1.5     -0.05      0.92      0.86     0.029         9
      -1.5      -1.4     -0.14      0.88      0.86     0.024        10
      -1.4      -1.3     -0.16      0.94      0.88     0.015         7
      -1.3      -1.2     -0.27      1.26      0.88     0.015        12
      -1.2      -1.1     -0.22      1.11      0.88     0.029        14
      -1.1      -1.0     -0.06      1.31      0.89     0.014        19
      -1.0      -0.9     -0.78      1.27      0.86     0.017         6
      -0.9      -0.8     -1.07      1.09      0.86     0.029         9
      -0.8      -0.7     -0.75      1.29      0.86     0.029        12
      -0.7      -0.6     -1.19      1.31      0.88     0.015         7
      -0.6      -0.5     -0.96      1.08      0.89     0.016        10
      -0.5      -0.4     -0.85      1.26      0.88     0.026        16
      -0.4      -0.3     -0.40      0.94      0.89     0.029        21
      -0.3      -0.2     -1.40      1.78      0.87     0.017         8
      -0.2      -0.1     -1.09      1.31      0.87     0.016         6
      -0.1      -0.0     -1.01      1.29      0.87     0.023        10
