# IDX        LATG        LATC        LONW          MU          TB
  426      -28.63      -23.95      131.30      0.6180      179.22
  427      -28.95      -24.23      129.53      0.6045      178.10
  428      -29.31      -24.55      127.71      0.5895      176.91
  429      -29.71      -24.90      125.85      0.5732      176.04
  430      -30.14      -25.29      123.93      0.5552      175.76
  431      -30.62      -25.71      121.95      0.5356      176.06
  432      -31.14      -26.18      119.89      0.5140      176.67
  433      -31.72      -26.70      117.74      0.4903      177.18
  434      -32.37      -27.28      115.48      0.4642      177.23
  435      -33.09      -27.93      113.08      0.4352      176.52
  436      -33.90      -28.67      110.50      0.4026      174.64
  437      -34.83      -29.52      107.69      0.3658      170.74
  438      -35.92      -30.51      104.55      0.3231      163.21
  439      -37.24      -31.73      100.91      0.2719      149.97
  440      -38.96      -33.34       96.35      0.2062      129.63
  441      -41.79      -36.03       89.20      0.1012      103.08
  442      -40.19      -34.50      217.58      0.0911       92.87
  443      -37.17      -31.67      209.99      0.2052      109.79
  444      -35.39      -30.03      205.34      0.2740      125.11
  445      -34.04      -28.80      201.65      0.3272      138.35
  446      -32.93      -27.79      198.49      0.3715      149.43
  447      -31.98      -26.94      195.66      0.4097      158.45
  448      -31.16      -26.19      193.07      0.4435      165.57
  449      -30.42      -25.54      190.66      0.4736      170.91
  450      -29.76      -24.95      188.40      0.5008      174.65
  451      -29.16      -24.42      186.24      0.5255      177.01
  452      -28.62      -23.94      184.18      0.5480      178.29
  453      -28.13      -23.51      182.20      0.5685      178.84
  454      -27.68      -23.11      180.29      0.5873      179.03
  455      -27.27      -22.75      178.43      0.6046      179.12
  456      -26.89      -22.42      176.62      0.6204      179.27
  457      -26.55      -22.12      174.85      0.6348      179.56
  458      -26.24      -21.85      173.12      0.6480      180.03
  459      -25.96      -21.61      171.42      0.6599      180.64
  460      -25.70      -21.38      169.75      0.6708      181.30
  461      -25.47      -21.19      168.10      0.6805      181.80
  462      -25.27      -21.01      166.48      0.6892      181.97
  463      -25.08      -20.85      164.87      0.6970      181.77
