# IDX        LATG        LATC        LONW          MU          TB
  472      -43.02      -37.21       86.09      0.3694      140.34
  473      -42.90      -37.10       85.37      0.3727      140.21
  474      -42.80      -36.99       84.64      0.3758      140.05
  475      -42.70      -36.90       83.93      0.3786      139.81
  476      -42.61      -36.82       83.21      0.3812      139.46
  477      -42.53      -36.74       82.50      0.3835      139.02
  478      -42.46      -36.67       81.79      0.3856      138.44
  479      -42.40      -36.61       81.09      0.3875      137.60
  480      -42.34      -36.56       80.39      0.3891      136.50
  481      -42.29      -36.51       79.69      0.3906      135.59
  482      -42.25      -36.47       79.00      0.3918      135.53
  483      -42.22      -36.44       78.30      0.3927      136.44
  484      -42.19      -36.41       77.61      0.3935      137.63
  485      -42.17      -36.40       76.91      0.3940      138.35
  486      -42.16      -36.38       76.22      0.3943      138.38
  487      -42.16      -36.38       75.53      0.3945      137.95
  488      -42.16      -36.38       74.84      0.3943      137.54
  489      -42.18      -36.40       74.15      0.3940      137.63
  490      -42.19      -36.41       73.45      0.3935      138.30
  491      -42.22      -36.44       72.76      0.3927      139.24
  492      -42.25      -36.47       72.06      0.3917      140.11
  493      -42.29      -36.51       71.37      0.3905      140.92
  494      -42.34      -36.56       70.67      0.3891      141.84
  495      -42.40      -36.61       69.97      0.3875      142.80
  496      -42.46      -36.67       69.26      0.3856      143.42
  497      -42.53      -36.74       68.56      0.3835      143.29
  498      -42.61      -36.82       67.85      0.3811      142.50
  499      -42.70      -36.90       67.13      0.3786      141.51
  500      -42.80      -37.00       66.41      0.3757      140.68
  501      -42.91      -37.10       65.69      0.3727      140.01
  502      -43.02      -37.21       64.96      0.3693      139.37
  503      -43.14      -37.33       64.23      0.3658      138.78
  504      -43.28      -37.46       63.49      0.3619      138.33
  505      -43.42      -37.60       62.74      0.3578      137.94
  506      -43.57      -37.74       61.99      0.3534      137.42
  507      -43.74      -37.90       61.23      0.3487      136.84
  508      -43.91      -38.07       60.45      0.3436      136.44
  509      -44.10      -38.25       59.67      0.3383      136.37
  510      -44.30      -38.45       58.88      0.3326      136.63
  511      -44.51      -38.65       58.07      0.3266      137.14
  512      -44.73      -38.87       57.26      0.3202      137.69
  513      -44.97      -39.11       56.42      0.3135      137.88
  514      -45.23      -39.36       55.57      0.3063      137.48
  515      -45.50      -39.62       54.71      0.2986      136.61
  516      -45.79      -39.91       53.82      0.2905      135.45
  517      -46.10      -40.22       52.91      0.2819      133.90
  518      -46.43      -40.54       51.98      0.2727      131.81
  519      -46.79      -40.90       51.02      0.2629      129.18
  520      -47.17      -41.28       50.02      0.2523      126.01
  521      -47.59      -41.69       48.98      0.2410      122.24
  522      -48.04      -42.15       47.90      0.2289      118.10
  523      -48.54      -42.64       46.77      0.2157      114.12
  524      -49.08      -43.19       45.57      0.2012      110.35
  525      -49.69      -43.81       44.28      0.1852      105.90
  526      -50.38      -44.51       42.88      0.1673       99.92
  527      -51.19      -45.33       41.33      0.1468       92.77
  528      -52.17      -46.33       39.54      0.1223       85.33
  529      -53.45      -47.66       37.31      0.0908       77.58
  530      -55.70      -50.02       33.72      0.0379       68.92
  531      -53.66      -47.89      117.28      0.0665       77.34
  532      -51.98      -46.14      114.45      0.1077       93.43
  533      -50.83      -44.96      112.39      0.1367      105.56
