# Bin Radiances of Band b1: 3.3 - 3e+03
# Ray output size: 1
# Polar angles: 48.200
# Azimuthal angles: 0.000
#       wave1       wave2    Radiance1      weight
     1.56e+03    1.56e+03     110.339       0.001
     1.56e+03    1.56e+03     110.299       0.001
     1.56e+03    1.56e+03     110.259       0.001
     1.57e+03    1.57e+03     110.219       0.001
     1.57e+03    1.57e+03     110.178       0.001
     1.57e+03    1.57e+03     110.138       0.001
     1.58e+03    1.58e+03     110.097       0.001
     1.58e+03    1.58e+03     110.056       0.001
     1.58e+03    1.58e+03     110.015       0.001
     1.59e+03    1.59e+03     109.974       0.001
     1.59e+03    1.59e+03     109.933       0.001
     1.59e+03    1.59e+03     109.892       0.001
     1.59e+03    1.59e+03     109.851       0.001
      1.6e+03     1.6e+03     109.809       0.001
      1.6e+03     1.6e+03     109.767       0.001
      1.6e+03     1.6e+03     109.725       0.001
     1.61e+03    1.61e+03     109.683       0.001
     1.61e+03    1.61e+03     109.641       0.001
     1.61e+03    1.61e+03     109.598       0.001
     1.62e+03    1.62e+03     109.555       0.001
     1.62e+03    1.62e+03     109.512       0.001
     1.62e+03    1.62e+03     109.469       0.001
     1.62e+03    1.62e+03     109.427       0.001
     1.63e+03    1.63e+03     109.384       0.001
     1.63e+03    1.63e+03     109.341       0.001
     1.63e+03    1.63e+03     109.297       0.001
     1.64e+03    1.64e+03     109.253       0.001
     1.64e+03    1.64e+03     109.208       0.001
     1.64e+03    1.64e+03     109.163       0.001
     1.65e+03    1.65e+03     109.118       0.001
     1.65e+03    1.65e+03     109.072       0.001
     1.65e+03    1.65e+03     109.025       0.001
     1.65e+03    1.65e+03     108.977       0.001
     1.66e+03    1.66e+03     108.929       0.001
     1.66e+03    1.66e+03     108.881       0.001
     1.66e+03    1.66e+03     108.831       0.001
     1.67e+03    1.67e+03     108.781       0.001
     1.67e+03    1.67e+03     108.729       0.001
     1.67e+03    1.67e+03     108.677       0.001
     1.68e+03    1.68e+03     108.624       0.001
     1.68e+03    1.68e+03     108.570       0.001
     1.68e+03    1.68e+03     108.515       0.001
     1.68e+03    1.68e+03     108.459       0.001
     1.69e+03    1.69e+03     108.402       0.001
     1.69e+03    1.69e+03     108.343       0.001
     1.69e+03    1.69e+03     108.282       0.001
      1.7e+03     1.7e+03     108.220       0.001
      1.7e+03     1.7e+03     108.155       0.001
      1.7e+03     1.7e+03     108.087       0.001
     1.71e+03    1.71e+03     108.017       0.001
     1.71e+03    1.71e+03     107.943       0.001
     1.71e+03    1.71e+03     107.866       0.001
     1.71e+03    1.71e+03     107.785       0.001
     1.72e+03    1.72e+03     107.699       0.001
     1.72e+03    1.72e+03     107.607       0.001
     1.72e+03    1.72e+03     107.509       0.001
